0,17668,28870.95,0.61,1634.08,737.34,3075.33,34982.98
1,16993,28533.88,0.6,1679.15,704.18,3325.02,35521.87
2,16075,28487.59,0.56,1772.17,909.9,3452.91,33470.32
3,16997,28838.75,0.59,1696.7,724.79,3246.83,37009.98
4,16890,28592.42,0.59,1692.86,713.91,3336.96,36390.25
5,17611,29008.98,0.61,1647.21,741.1,3072.23,35205.38
6,17097,28523.88,0.6,1668.36,709.66,3350.8,34961.95
7,16010,28608.55,0.56,1786.92,886.46,3436.75,35409.69
8,16999,28802.2,0.59,1694.35,713.15,3236.28,37111.97
9,16850,28849.87,0.58,1712.16,735.31,3329.65,36672.83
10,18968,31322.47,0.61,1651.33,894.42,2998.01,34179.85
11,18617,30650.12,0.61,1646.35,858.97,3108.15,33411.98
12,18241,31321.87,0.58,1717.11,971.13,3208.34,32748.92
13,18648,31018.09,0.6,1663.35,876.87,3024.75,34543.15
14,18112,30707.22,0.59,1695.41,916.43,3254.04,34164.27
15,17876,30738,0.58,1719.51,961.38,2987.48,34534.36
16,17241,29792.55,0.58,1728.01,915.03,3272.39,34346.75
17,16364,28967.96,0.56,1770.22,954.75,3387.45,33880.95
18,17226,29874.35,0.58,1734.26,941.38,3189.35,34914.31
19,17162,29716.44,0.58,1731.53,927.37,3290.43,34622.95
20,17860,30606.29,0.58,1713.68,955.57,3039.09,34588.46
21,17642,30008.57,0.59,1700.97,898.25,3179.15,34743.57
22,18023,31142.47,0.58,1727.93,980.93,3262.93,33251.45
23,18550,31044.8,0.6,1673.57,895.55,3047.8,33624.51
24,18488,30903.81,0.6,1671.56,898.01,3125.76,34810.36
25,19095,31328.86,0.61,1640.68,885.81,2954.69,33391.2
26,18572,30942.12,0.6,1666.06,885.58,3058.15,34152.56
27,18216,31182.6,0.58,1711.82,983.64,3207.38,32735.51
28,18085,30777.83,0.59,1701.84,902.8,3100.84,34607.54
29,16797,29442.97,0.57,1752.87,933.74,3359.94,35878.52
30,17534,30520.72,0.57,1740.66,946.29,3052.09,35719.84
31,17007,29605.72,0.57,1740.8,918.91,3246.33,35065.12
32,16168,28756.74,0.56,1778.62,980.93,3409.35,33829.09
33,16958,29613.88,0.57,1746.31,932.67,3235.45,36653.28
34,16723,29154.71,0.57,1743.39,930.49,3314.94,34890.44
35,17579,30573.99,0.57,1739.23,964.4,3045.78,34617.4
36,16936,29465.74,0.57,1739.83,922.02,3193.84,34743.67
37,18174,31291.05,0.58,1721.75,979.34,3178.52,32218.7
38,18738,31090.22,0.6,1659.21,865.7,3087.69,34433.78
39,18776,31296.11,0.6,1666.81,842.66,3100.84,35780.57
